Time;Bx;By;Bz;I;Azimuth;Pitch;Roll;
2.2400;4.9811;8.9512;−20.9981;7.0000;−15.319;−11.591;3.814;
2.2750;4.9811;8.9512;−20.9981;7.0000;−10.591;−13.319;6.554;
2.2850;6.0421;9.1424;−20.9701;7.0000;−14.601;−13.319;6.554;
2.3450;6.0421;9.1424;−20.9701;7.0000;−21.512;−15.276;1.029;
2.4150;6.0421;9.1424;−20.9701;7.0000;−24.153;−14.747;−0.838;
2.4410;6.0421;9.1424;−20.9701;7.0000;−24.153;−14.747;−0.838;
2.4870;6.0421;9.1424;−20.9701;7.0000;−27.135;−9.187;−0.800;
2.4880;6.3948;11.0574;−20.7902;7.0000;−25.176;−9.187;−0.800;
2.5550;6.3948;11.0574;−20.7902;7.0000;−28.660;−1.179;0.325;
2.6250;6.3948;11.0574;−20.7902;7.0000;−28.208;1.202;1.924;
2.6400;6.3948;11.0574;−20.7902;12.0000;−28.208;1.202;1.924;
2.6850;6.5215;13.1990;−19.6285;12.0000;−24.629;1.202;1.924;
2.6940;6.5215;13.1990;−19.6285;12.0000;−10.940;3.991;12.082;
2.7650;6.5215;13.1990;−19.6285;12.0000;−21.043;3.965;5.731;
2.8350;6.5215;13.1990;−19.6285;12.0000;−20.376;−2.500;3.755;
2.8400;6.5215;13.1990;−19.6285;13.0000;−20.376;−2.500;3.755;
2.8850;5.4173;15.0988;−19.8579;13.0000;−14.421;−2.500;3.755;
2.9050;5.4173;15.0988;−19.8579;13.0000;−17.004;−9.422;−0.375;
2.9750;5.4173;15.0988;−19.8579;13.0000;−13.348;−14.583;2.160;
3.0420;5.4173;15.0988;−19.8579;11.0000;−13.348;−14.583;2.160;
3.0450;5.4173;15.0988;−19.8579;11.0000;−11.882;−11.361;4.190;
3.0850;5.8967;14.9634;−19.3685;11.0000;−13.529;−11.361;4.190;
3.1150;5.8967;14.9634;−19.3685;11.0000;−11.302;−8.577;6.831;
3.1850;5.8967;14.9634;−19.3685;11.0000;−14.967;−7.234;3.708;
3.2420;5.8967;14.9634;−19.3685;11.0000;−14.967;−7.234;3.708;
3.2550;5.8967;14.9634;−19.3685;11.0000;−22.943;0.656;−1.020;
3.2850;5.6966;13.1461;−19.6804;11.0000;−25.075;0.656;−1.020;
3.3250;5.6966;13.1461;−19.6804;11.0000;−27.716;−5.003;−6.080;
3.3950;5.6966;13.1461;−19.6804;11.0000;−18.799;−7.537;1.094;
3.4420;5.6966;13.1461;−19.6804;12.0000;−18.799;−7.537;1.094;
3.4650;5.6966;13.1461;−19.6804;12.0000;−10.750;−6.736;7.921;
3.4850;4.7222;13.7946;−19.2348;12.0000;−7.214;−6.736;7.921;
3.5350;4.7222;13.7946;−19.2348;12.0000;−13.777;−8.830;1.930;
3.6050;4.7222;13.7946;−19.2348;12.0000;−11.676;−10.652;3.480;
3.6410;4.7222;13.7946;−19.2348;12.0000;−11.676;−10.652;3.480;
3.6750;4.7222;13.7946;−19.2348;12.0000;−10.643;−12.136;4.185;
3.6850;4.9696;14.3771;−19.1344;12.0000;−11.101;−12.136;4.185;
3.7450;4.9696;14.3771;−19.1344;12.0000;−17.809;−6.041;−0.803;
3.8150;4.9696;14.3771;−19.1344;12.0000;−13.017;−4.238;3.929;
3.8410;4.9696;14.3771;−19.1344;11.0000;−13.017;−4.238;3.929;
3.8860;4.9696;14.3771;−19.1344;11.0000;−12.119;1.883;5.985;
3.8880;5.5320;14.2427;−18.3899;11.0000;−14.749;1.883;5.985;
3.9550;5.5320;14.2427;−18.3899;11.0000;−14.151;−5.839;4.556;
4.0250;5.5320;14.2427;−18.3899;11.0000;−16.859;−3.941;2.595;
4.0410;5.5320;14.2427;−18.3899;12.0000;−16.859;−3.941;2.595;
4.0850;6.9536;15.9874;−16.4632;12.0000;−19.931;−3.941;2.595;
4.1030;6.9536;15.9874;−16.4632;12.0000;−16.217;−1.569;7.366;
4.1650;6.9536;15.9874;−16.4632;12.0000;−20.316;1.465;4.106;
4.2350;6.9536;15.9874;−16.4632;12.0000;−20.510;−0.051;3.327;
4.2410;6.9536;15.9874;−16.4632;12.0000;−20.510;−0.051;3.327;
4.2860;6.4176;16.5170;−15.7987;12.0000;−18.370;−0.051;3.327;
4.3050;6.4176;16.5170;−15.7987;12.0000;−19.510;1.076;2.422;
4.3750;6.4176;16.5170;−15.7987;12.0000;−18.865;1.680;3.364;
4.4400;6.4176;16.5170;−15.7987;12.0000;−18.865;1.680;3.364;
4.4450;6.4176;16.5170;−15.7987;12.0000;−24.179;1.018;−3.208;
4.4850;4.8303;18.5672;−14.5462;12.0000;−17.110;1.018;−3.208;
4.5150;4.8303;18.5672;−14.5462;12.0000;−17.884;11.382;−0.471;
4.5850;4.8303;18.5672;−14.5462;12.0000;−16.055;12.457;2.060;
4.6420;4.8303;18.5672;−14.5462;11.0000;−16.055;12.457;2.060;
4.6540;4.8303;18.5672;−14.5462;11.0000;−21.494;12.300;−4.509;
4.6850;2.7208;22.7310;−12.5038;11.0000;−10.678;12.300;−4.509;
4.7240;2.7208;22.7310;−12.5038;11.0000;−6.644;9.316;1.577;
4.7950;2.7208;22.7310;−12.5038;11.0000;−3.690;6.776;6.180;
4.8430;2.7208;22.7310;−12.5038;12.0000;−3.690;6.776;6.180;
4.8650;2.7208;22.7310;−12.5038;12.0000;−6.724;4.315;0.731;
4.8850;1.9660;24.4892;−11.1866;12.0000;−4.422;4.315;0.731;
4.9350;1.9660;24.4892;−11.1866;12.0000;−4.333;0.294;0.587;
5.0050;1.9660;24.4892;−11.1866;12.0000;−2.255;9.578;5.541;
5.0430;1.9660;24.4892;−11.1866;10.0000;−2.255;9.578;5.541;
5.0750;1.9660;24.4892;−11.1866;10.0000;−4.569;8.969;0.882;
5.0850;1.4900;26.2190;−9.7437;10.0000;−3.146;8.969;0.882;
5.1450;1.4900;26.2190;−9.7437;10.0000;−0.703;10.599;6.986;
5.2150;1.4900;26.2190;−9.7437;10.0000;−1.786;0.627;3.956;
5.2410;1.4900;26.2190;−9.7437;10.0000;−1.786;0.627;3.956;
5.2860;1.4900;26.2190;−9.7437;10.0000;−2.303;0.921;2.592;
5.2880;0.8327;26.9243;−8.4073;10.0000;−0.966;0.921;2.592;
5.3550;0.8327;26.9243;−8.4073;10.0000;0.576;7.972;7.394;
5.4250;0.8327;26.9243;−8.4073;10.0000;−0.473;10.292;4.258;
5.4400;0.8327;26.9243;−8.4073;10.0000;−0.473;10.292;4.258;
5.4860;1.0524;26.1051;−7.3369;10.0000;−1.187;10.292;4.258;
5.4950;1.0524;26.1051;−7.3369;10.0000;−0.338;5.339;7.008;
5.5650;1.0524;26.1051;−7.3369;10.0000;−2.114;5.661;0.937;
5.6350;1.0524;26.1051;−7.3369;10.0000;0.175;4.562;8.762;
5.6410;1.0524;26.1051;−7.3369;12.0000;0.175;4.562;8.762;
5.6860;0.2288;25.0291;−6.8975;12.0000;1.935;4.562;8.762;
5.7050;0.2288;25.0291;−6.8975;12.0000;1.899;0.965;8.775;
5.7750;0.2288;25.0291;−6.8975;12.0000;0.889;7.987;4.970;
5.8430;0.2288;25.0291;−6.8975;10.0000;0.889;7.987;4.970;
5.8450;0.2288;25.0291;−6.8975;10.0000;−0.492;9.103;0.216;
5.8850;−0.4749;24.4011;−7.3436;10.0000;1.255;9.103;0.216;
5.9150;−0.4749;24.4011;−7.3436;10.0000;2.265;7.520;3.473;
5.9850;−0.4749;24.4011;−7.3436;10.0000;2.138;2.934;3.291;
6.0400;−0.4749;24.4011;−7.3436;12.0000;2.138;2.934;3.291;
6.0550;−0.4749;24.4011;−7.3436;12.0000;1.417;4.736;0.873;
6.0850;−1.9832;23.8703;−7.0223;12.0000;5.145;4.736;0.873;
6.1250;−1.9832;23.8703;−7.0223;12.0000;6.503;5.749;5.353;
6.1950;−1.9832;23.8703;−7.0223;12.0000;5.290;7.739;0.980;
6.2440;−1.9832;23.8703;−7.0223;12.0000;5.290;7.739;0.980;
6.2650;−1.9832;23.8703;−7.0223;12.0000;4.661;4.582;−0.728;
6.2860;−3.4560;23.1701;−5.8339;12.0000;8.500;4.582;−0.728;
6.3350;−3.4560;23.1701;−5.8339;12.0000;10.389;5.764;6.851;
6.4050;−3.4560;23.1701;−5.8339;12.0000;8.703;2.737;0.438;
6.4420;−3.4560;23.1701;−5.8339;12.0000;8.703;2.737;0.438;
6.4750;−3.4560;23.1701;−5.8339;12.0000;9.445;2.426;3.559;
6.4850;−4.4109;21.3524;−4.8586;12.0000;12.545;2.426;3.559;
6.5450;−4.4109;21.3524;−4.8586;12.0000;12.449;6.827;1.742;
6.6150;−4.4109;21.3524;−4.8586;12.0000;12.485;7.170;1.788;
6.6420;−4.4109;21.3524;−4.8586;12.0000;12.485;7.170;1.788;
6.6860;−4.4109;21.3524;−4.8586;12.0000;12.140;6.788;0.322;
6.6870;−5.1061;20.8459;−3.9844;12.0000;14.224;6.788;0.322;
6.7550;−5.1061;20.8459;−3.9844;12.0000;15.018;2.842;6.786;
6.8250;−5.1061;20.8459;−3.9844;12.0000;14.293;4.099;1.783;
6.8410;−5.1061;20.8459;−3.9844;12.0000;14.293;4.099;1.783;
6.8860;−5.4468;19.9193;−2.9620;12.0000;15.721;4.099;1.783;
6.8950;−5.4468;19.9193;−2.9620;12.0000;16.275;6.087;5.544;
6.9650;−5.4468;19.9193;−2.9620;12.0000;15.881;2.503;3.760;
7.0350;−5.4468;19.9193;−2.9620;12.0000;15.830;1.144;3.818;
7.0400;−5.4468;19.9193;−2.9620;12.0000;15.830;1.144;3.818;
7.0860;−5.2116;18.6839;−2.5624;12.0000;16.076;1.144;3.818;
7.1050;−5.2116;18.6839;−2.5624;12.0000;16.061;3.127;2.912;
7.1750;−5.2116;18.6839;−2.5624;12.0000;16.222;3.264;4.361;
7.2410;−5.2116;18.6839;−2.5624;12.0000;16.222;3.264;4.361;
7.2450;−5.2116;18.6839;−2.5624;12.0000;16.038;2.751;2.860;
7.2860;−5.0432;18.9288;−2.6445;12.0000;15.379;2.751;2.860;
7.3190;−5.0432;18.9288;−2.6445;12.0000;15.580;2.469;4.786;
7.3850;−5.0432;18.9288;−2.6445;12.0000;15.356;2.843;2.627;
7.4420;−5.0432;18.9288;−2.6445;12.0000;15.356;2.843;2.627;
7.4550;−5.0432;18.9288;−2.6445;12.0000;15.599;3.527;4.530;
7.4860;−6.7370;17.9746;−1.3817;12.0000;20.884;3.527;4.530;
7.5250;−6.7370;17.9746;−1.3817;12.0000;20.886;4.182;3.874;
7.5950;−6.7370;17.9746;−1.3817;12.0000;20.833;2.764;3.854;
7.6410;−6.7370;17.9746;−1.3817;12.0000;20.833;2.764;3.854;
7.6650;−6.7370;17.9746;−1.3817;12.0000;20.891;3.692;4.559;
7.6850;−8.0067;17.7184;−0.4255;12.0000;24.368;3.692;4.559;
7.7350;−8.0067;17.7184;−0.4255;12.0000;24.382;3.336;3.234;
7.8050;−8.0067;17.7184;−0.4255;12.0000;24.371;3.179;3.886;
7.8430;−8.0067;17.7184;−0.4255;12.0000;24.371;3.179;3.886;
7.8750;−8.0067;17.7184;−0.4255;12.0000;24.382;3.525;3.586;
7.8850;−8.3931;17.8811;−0.7207;12.0000;25.276;3.525;3.586;
7.9450;−8.3931;17.8811;−0.7207;12.0000;25.267;3.314;2.301;
8.0150;−8.3931;17.8811;−0.7207;12.0000;25.236;5.788;8.326;
8.0420;−8.3931;17.8811;−0.7207;12.0000;25.236;5.788;8.326;
8.0860;−8.3931;17.8811;−0.7207;12.0000;25.280;4.378;5.561;
8.0870;−8.1393;17.9512;−0.5904;12.0000;24.485;4.378;5.561;
8.1550;−8.1393;17.9512;−0.5904;12.0000;24.532;5.578;5.016;
8.2250;−8.1393;17.9512;−0.5904;12.0000;24.756;8.782;0.376;
8.2430;−8.1393;17.9512;−0.5904;12.0000;24.756;8.782;0.376;
8.2860;−8.5321;17.3082;−1.1606;12.0000;26.758;8.782;0.376;
8.2950;−8.5321;17.3082;−1.1606;12.0000;27.235;13.700;4.609;
8.3650;−8.5321;17.3082;−1.1606;12.0000;26.391;9.205;14.250;
8.4350;−8.5321;17.3082;−1.1606;12.0000;26.365;7.501;13.745;
8.4410;−8.5321;17.3082;−1.1606;10.0000;26.365;7.501;13.745;
8.4860;−7.9241;18.2608;−2.3771;10.0000;24.596;7.501;13.745;
8.5050;−7.9241;18.2608;−2.3771;10.0000;24.472;5.061;13.561;
8.5750;−7.9241;18.2608;−2.3771;10.0000;24.317;−0.828;12.858;
8.6410;−7.9241;18.2608;−2.3771;10.0000;24.317;−0.828;12.858;
8.6450;−7.9241;18.2608;−2.3771;10.0000;24.346;−5.042;12.743;
8.6860;−7.0479;18.8358;−5.2694;10.0000;22.843;−5.042;12.743;
8.7150;−7.0479;18.8358;−5.2694;10.0000;23.403;1.387;14.010;
8.7850;−7.0479;18.8358;−5.2694;10.0000;23.684;1.455;15.953;
8.8410;−7.0479;18.8358;−5.2694;11.0000;23.684;1.455;15.953;
8.8550;−7.0479;18.8358;−5.2694;11.0000;24.444;7.886;17.344;
8.8860;−5.4188;19.2966;−7.3395;11.0000;21.830;7.886;17.344;
8.9250;−5.4188;19.2966;−7.3395;11.0000;21.300;10.207;13.673;
8.9950;−5.4188;19.2966;−7.3395;11.0000;20.809;7.380;13.540;
9.0410;−5.4188;19.2966;−7.3395;10.0000;20.809;7.380;13.540;
9.0650;−5.4188;19.2966;−7.3395;10.0000;18.687;1.850;8.577;
9.0850;−2.0155;21.8791;−8.3981;10.0000;8.541;1.850;8.577;
9.1350;−2.0155;21.8791;−8.3981;10.0000;6.866;−1.057;4.391;
9.2050;−2.0155;21.8791;−8.3981;10.0000;8.380;−5.402;9.106;
9.2410;−2.0155;21.8791;−8.3981;10.0000;8.380;−5.402;9.106;
9.2750;−2.0155;21.8791;−8.3981;10.0000;7.902;−0.583;7.171;
9.2850;1.4322;20.1277;−10.2117;10.0000;−0.414;−0.583;7.171;
9.3450;1.4322;20.1277;−10.2117;10.0000;−5.322;5.395;−1.944;
9.4150;1.4322;20.1277;−10.2117;10.0000;−5.557;4.386;−2.504;
9.4420;1.4322;20.1277;−10.2117;10.0000;−5.557;4.386;−2.504;
9.4860;1.4322;20.1277;−10.2117;10.0000;−6.798;5.125;−4.806;
9.4870;3.8526;17.6703;−11.8872;10.0000;−16.266;5.125;−4.806;
9.5550;3.8526;17.6703;−11.8872;10.0000;−15.211;2.066;−4.077;
9.6250;3.8526;17.6703;−11.8872;10.0000;−12.045;2.652;0.981;
9.6430;3.8526;17.6703;−11.8872;10.0000;−12.045;2.652;0.981;
9.6860;4.8850;15.3280;−13.8034;10.0000;−17.581;2.652;0.981;
9.6950;4.8850;15.3280;−13.8034;10.0000;−17.587;1.709;0.662;
9.7650;4.8850;15.3280;−13.8034;10.0000;−16.338;−2.647;0.864;
9.8350;4.8850;15.3280;−13.8034;10.0000;−15.858;3.976;3.363;
9.8430;4.8850;15.3280;−13.8034;9.0000;−15.858;3.976;3.363;
9.8860;5.8868;14.4552;−14.6270;9.0000;−20.554;3.976;3.363;
9.9050;5.8868;14.4552;−14.6270;9.0000;−18.527;6.178;6.215;
9.9750;5.8868;14.4552;−14.6270;9.0000;−16.769;6.658;8.008;
10.0410;5.8868;14.4552;−14.6270;8.0000;−16.769;6.658;8.008;
10.0460;5.8868;14.4552;−14.6270;8.0000;−20.209;15.445;8.632;
10.0860;6.8853;12.3429;−15.4960;8.0000;−30.719;15.445;8.632;
10.1150;6.8853;12.3429;−15.4960;8.0000;−31.028;8.010;3.149;
10.1850;6.8853;12.3429;−15.4960;8.0000;−25.561;4.275;5.697;
10.2410;6.8853;12.3429;−15.4960;9.0000;−25.561;4.275;5.697;
10.2550;6.8853;12.3429;−15.4960;9.0000;−21.986;7.492;10.054;
10.3060;7.8362;10.1373;−16.8154;9.0000;−31.788;7.492;10.054;
10.3250;7.8362;10.1373;−16.8154;9.0000;−36.681;4.435;4.384;
10.3950;7.8362;10.1373;−16.8154;9.0000;−34.364;7.184;8.197;
10.4410;7.8362;10.1373;−16.8154;8.0000;−34.364;7.184;8.197;
10.4650;7.8362;10.1373;−16.8154;8.0000;−34.045;3.446;5.705;
10.4850;7.5109;8.8390;−16.8176;8.0000;−36.741;3.446;5.705;
10.5350;7.5109;8.8390;−16.8176;8.0000;−36.902;0.799;3.548;
10.6050;7.5109;8.8390;−16.8176;8.0000;−38.752;4.117;4.810;
10.6410;7.5109;8.8390;−16.8176;7.0000;−38.752;4.117;4.810;
10.6750;7.5109;8.8390;−16.8176;7.0000;−56.050;15.365;5.788;
10.6850;7.0476;8.4284;−16.8573;7.0000;−56.656;15.365;5.788;
10.7450;7.0476;8.4284;−16.8573;7.0000;−55.123;12.066;1.072;
10.8150;7.0476;8.4284;−16.8573;7.0000;−54.821;6.573;−8.007;
10.8420;7.0476;8.4284;−16.8573;8.0000;−54.821;6.573;−8.007;
10.8870;7.0476;8.4284;−16.8573;8.0000;−35.375;−8.627;−2.174;
10.8880;6.9877;9.5819;−17.1690;8.0000;−32.447;−8.627;−2.174;
10.9550;6.9877;9.5819;−17.1690;8.0000;−30.873;−0.266;3.986;
11.0250;6.9877;9.5819;−17.1690;8.0000;−27.181;0.228;6.870;
11.0420;6.9877;9.5819;−17.1690;7.0000;−27.181;0.228;6.870;
11.0850;7.5648;7.8109;−17.4008;7.0000;−35.053;0.228;6.870;
11.0950;7.5648;7.8109;−17.4008;7.0000;−33.398;0.051;7.781;
11.1650;7.5648;7.8109;−17.4008;7.0000;−35.141;−1.661;5.495;
11.2350;7.5648;7.8109;−17.4008;7.0000;−30.099;−0.347;9.491;
11.2430;7.5648;7.8109;−17.4008;6.0000;−30.099;−0.347;9.491;
11.2860;7.2919;8.3840;−16.5070;6.0000;−27.769;−0.347;9.491;
11.3050;7.2919;8.3840;−16.5070;6.0000;−49.960;16.003;11.666;
11.3750;7.2919;8.3840;−16.5070;6.0000;−37.877;7.128;8.435;
11.4430;7.2919;8.3840;−16.5070;5.0000;−37.877;7.128;8.435;
11.4450;7.2919;8.3840;−16.5070;5.0000;−43.271;6.038;3.841;
11.4860;9.1939;9.9255;−15.7121;5.0000;−44.873;6.038;3.841;
11.5150;9.1939;9.9255;−15.7121;5.0000;−40.402;5.743;7.811;
11.5850;9.1939;9.9255;−15.7121;5.0000;−45.206;7.590;5.256;
11.6420;9.1939;9.9255;−15.7121;3.0000;−45.206;7.590;5.256;
11.6550;9.1939;9.9255;−15.7121;3.0000;−44.671;6.016;4.029;
11.6860;9.0610;10.3246;−16.3147;3.0000;−42.893;6.016;4.029;
11.7250;9.0610;10.3246;−16.3147;3.0000;−38.560;4.666;6.741;
11.7950;9.0610;10.3246;−16.3147;3.0000;−39.361;6.106;7.321;
11.8420;9.0610;10.3246;−16.3147;2.0000;−39.361;6.106;7.321;
11.8650;9.0610;10.3246;−16.3147;2.0000;−63.184;19.035;1.491;
11.8860;8.4931;11.2087;−17.5559;2.0000;−59.142;19.035;1.491;
11.9350;8.4931;11.2087;−17.5559;2.0000;−60.122;19.982;2.657;
12.0050;8.4931;11.2087;−17.5559;2.0000;−56.722;13.642;−7.626;
12.0420;8.4931;11.2087;−17.5559;2.0000;−56.722;13.642;−7.626;
12.0750;8.4931;11.2087;−17.5559;2.0000;−39.687;9.271;5.621;
12.0850;8.3550;14.3473;−17.8203;2.0000;−30.459;9.271;5.621;
12.1450;8.3550;14.3473;−17.8203;2.0000;−28.231;−1.061;1.515;
12.2150;8.3550;14.3473;−17.8203;2.0000;−20.174;−2.464;8.696;
12.2410;8.3550;14.3473;−17.8203;2.0000;−20.174;−2.464;8.696;
12.2860;8.3550;14.3473;−17.8203;2.0000;−20.677;−4.065;7.665;
12.2870;8.8935;13.2797;−17.7357;2.0000;−23.865;−4.065;7.665;
12.3550;8.8935;13.2797;−17.7357;2.0000;−27.067;−2.589;5.336;
12.4250;8.8935;13.2797;−17.7357;2.0000;−25.868;−0.728;7.343;
12.4430;8.8935;13.2797;−17.7357;2.0000;−25.868;−0.728;7.343;
12.4860;9.9477;11.1880;−18.1438;2.0000;−33.433;−0.728;7.343;
12.4950;9.9477;11.1880;−18.1438;2.0000;−49.168;16.711;12.485;
12.5660;9.9477;11.1880;−18.1438;2.0000;−42.749;10.085;8.867;
12.6350;9.9477;11.1880;−18.1438;2.0000;−39.241;8.056;9.516;
12.6430;9.9477;11.1880;−18.1438;1.0000;−39.241;8.056;9.516;
12.6860;11.4972;10.6904;−17.2434;1.0000;−46.929;8.056;9.516;
12.7050;11.4972;10.6904;−17.2434;1.0000;−45.904;4.757;6.674;
12.7750;11.4972;10.6904;−17.2434;1.0000;−43.903;4.401;8.338;
12.8410;11.4972;10.6904;−17.2434;2.0000;−43.903;4.401;8.338;
12.8440;11.4972;10.6904;−17.2434;2.0000;−41.485;2.967;9.247;
12.8850;9.6545;8.4472;−17.1506;2.0000;−42.163;2.967;9.247;
12.9140;9.6545;8.4472;−17.1506;2.0000;−38.749;−1.884;7.734;
12.9840;9.6545;8.4472;−17.1506;2.0000;−52.064;5.322;3.177;
13.0410;9.6545;8.4472;−17.1506;1.0000;−52.064;5.322;3.177;
13.0540;9.6545;8.4472;−17.1506;1.0000;−45.480;−1.688;1.807;
13.0850;7.5129;5.6051;−18.5109;1.0000;−48.372;−1.688;1.807;
13.1240;7.5129;5.6051;−18.5109;1.0000;−62.886;2.055;−7.016;
13.1940;7.5129;5.6051;−18.5109;1.0000;−66.639;−0.920;−20.509;
13.2400;7.5129;5.6051;−18.5109;0.0000;−66.639;−0.920;−20.509;
13.2640;7.5129;5.6051;−18.5109;0.0000;−60.621;−10.232;−23.307;
13.2850;3.3034;0.3353;−19.7185;0.0000;−72.991;−10.232;−23.307;
13.3340;3.3034;0.3353;−19.7185;0.0000;−94.048;2.559;−11.191;
13.4040;3.3034;0.3353;−19.7185;0.0000;−56.546;−6.067;−1.005;
13.4420;3.3034;0.3353;−19.7185;2.0000;−56.546;−6.067;−1.005;
13.4740;3.3034;0.3353;−19.7185;2.0000;−72.971;−7.509;−16.456;
13.4850;0.3730;−2.5992;−20.1422;2.0000;−90.628;−7.509;−16.456;
13.5440;0.3730;−2.5992;−20.1422;2.0000;−62.093;−19.850;−20.482;
13.6140;0.3730;−2.5992;−20.1422;2.0000;−76.064;−15.428;−25.940;
13.6410;0.3730;−2.5992;−20.1422;0.0000;−76.064;−15.428;−25.940;
13.6870;0.3730;−2.5992;−20.1422;0.0000;−57.409;−13.387;−8.210;
13.6880;−4.3605;−5.2824;−19.6759;0.0000;107.876;−13.387;−8.210;
13.7550;−4.3605;−5.2824;−19.6759;0.0000;−88.046;−15.779;−28.363;
13.8250;−4.3605;−5.2824;−19.6759;0.0000;178.280;−5.078;−12.199;
13.8410;−4.3605;−5.2824;−19.6759;0.0000;178.280;−5.078;−12.199;
13.8860;−10.1341;−9.6335;−17.6341;0.0000;141.900;−5.078;−12.199;
13.8950;−10.1341;−9.6335;−17.6341;0.0000;139.713;−8.900;−14.196;
13.9650;−10.1341;−9.6335;−17.6341;0.0000;148.474;−9.005;−18.772;
14.0350;−10.1341;−9.6335;−17.6341;0.0000;−97.394;−24.344;−44.318;
14.0420;−10.1341;−9.6335;−17.6341;0.0000;−97.394;−24.344;−44.318;
